setting_key,setting_label,category,model_id,model_revision,dimension,max_length,collection_name,retrieval_mode,use_bm25,use_reranker,status,error,case_count,hit_case_count,recall_at_5,mrr_at_5,ndcg_at_5,successful_repetitions,ranking_stable,truncated_document_count,cold_load_ms,document_embedding_ms,query_embedding_p50_ms,query_embedding_p95_ms,retrieval_p50_ms,retrieval_p95_ms,warm_total_p50_ms,warm_total_p95_ms,rss_before_load_mb,rss_after_load_mb,observed_peak_rss_mb,device,dtype,document_batch_size,query_batch_size,delta_recall_at_5,delta_mrr_at_5,delta_ndcg_at_5,recall_ci_lower,recall_ci_upper,mrr_ci_lower,mrr_ci_upper,ndcg_ci_lower,ndcg_ci_upper,category_guardrail_pass,all_category_guardrails_pass,clear_gain_vs_control,best_lighter_setting,clear_gain_vs_best_lighter,finalist_eligible
qwen3-embedding-0.6b-384,Qwen3 Embedding 0.6B 384D,overall,Qwen/Qwen3-Embedding-0.6B,97b0c614be4d77ee51c0cef4e5f07c00f9eb65b3,384,512,hue_foods_08a_qwen3_06b_384,dense,False,False,completed,,45,39,0.7481481481481481,0.6237037037037036,0.6174596715290686,3,True,0,41496.871452,765195.811323,781.772429,1118.3580971,5.699344999999994,10.858816199999966,788.537212,1125.9132894,1674.78515625,2146.12109375,2871.0,cpu,float32,8,1,-0.07037037037037036,-0.15111111111111114,-0.12507794579444645,-0.17037037037037037,0.029629629629629634,-0.27814814814814814,-0.0233240740740742,-0.23212958433969494,-0.0157163370363324,,False,False,e5-small-384,False,True
qwen3-embedding-0.6b-384,Qwen3 Embedding 0.6B 384D,comparative,Qwen/Qwen3-Embedding-0.6B,97b0c614be4d77ee51c0cef4e5f07c00f9eb65b3,384,512,hue_foods_08a_qwen3_06b_384,dense,False,False,completed,,6,6,0.5833333333333334,0.625,0.5030831255414482,3,,,,,,,,,,,,,,cpu,float32,8,1,0.0,-0.04166666666666663,-0.04092822822065034,,,,,,,True,,,,,
qwen3-embedding-0.6b-384,Qwen3 Embedding 0.6B 384D,direct_fact,Qwen/Qwen3-Embedding-0.6B,97b0c614be4d77ee51c0cef4e5f07c00f9eb65b3,384,512,hue_foods_08a_qwen3_06b_384,dense,False,False,completed,,7,6,0.8571428571428571,0.8571428571428571,0.8456743984497411,3,,,,,,,,,,,,,,cpu,float32,8,1,0.0,0.0714285714285714,0.05272432091836321,,,,,,,True,,,,,
qwen3-embedding-0.6b-384,Qwen3 Embedding 0.6B 384D,food_knowledge,Qwen/Qwen3-Embedding-0.6B,97b0c614be4d77ee51c0cef4e5f07c00f9eb65b3,384,512,hue_foods_08a_qwen3_06b_384,dense,False,False,completed,,7,6,0.7857142857142857,0.3380952380952381,0.4402282125543608,3,,,,,,,,,,,,,,cpu,float32,8,1,-0.0714285714285714,-0.3761904761904762,-0.31432188507115205,,,,,,,False,,,,,
qwen3-embedding-0.6b-384,Qwen3 Embedding 0.6B 384D,guide_planning,Qwen/Qwen3-Embedding-0.6B,97b0c614be4d77ee51c0cef4e5f07c00f9eb65b3,384,512,hue_foods_08a_qwen3_06b_384,dense,False,False,completed,,2,2,1.0,0.75,0.8154648767857288,3,,,,,,,,,,,,,,cpu,float32,8,1,0.5,0.25,0.31546487678572877,,,,,,,True,,,,,
qwen3-embedding-0.6b-384,Qwen3 Embedding 0.6B 384D,holistic,Qwen/Qwen3-Embedding-0.6B,97b0c614be4d77ee51c0cef4e5f07c00f9eb65b3,384,512,hue_foods_08a_qwen3_06b_384,dense,False,False,completed,,3,3,1.0,0.611111111111111,0.7338571575089259,3,,,,,,,,,,,,,,cpu,float32,8,1,0.0,0.05555555555555558,0.09395022779286333,,,,,,,True,,,,,
qwen3-embedding-0.6b-384,Qwen3 Embedding 0.6B 384D,numerical,Qwen/Qwen3-Embedding-0.6B,97b0c614be4d77ee51c0cef4e5f07c00f9eb65b3,384,512,hue_foods_08a_qwen3_06b_384,dense,False,False,completed,,2,2,1.0,0.6,0.6934264036172708,3,,,,,,,,,,,,,,cpu,float32,8,1,0.0,-0.4,-0.3065735963827292,,,,,,,True,,,,,
qwen3-embedding-0.6b-384,Qwen3 Embedding 0.6B 384D,relationship,Qwen/Qwen3-Embedding-0.6B,97b0c614be4d77ee51c0cef4e5f07c00f9eb65b3,384,512,hue_foods_08a_qwen3_06b_384,dense,False,False,completed,,14,12,0.7857142857142857,0.7261904761904762,0.6990927580421246,3,,,,,,,,,,,,,,cpu,float32,8,1,-0.2142857142857143,-0.16666666666666674,-0.2003117843537896,,,,,,,False,,,,,
qwen3-embedding-0.6b-384,Qwen3 Embedding 0.6B 384D,spanning,Qwen/Qwen3-Embedding-0.6B,97b0c614be4d77ee51c0cef4e5f07c00f9eb65b3,384,512,hue_foods_08a_qwen3_06b_384,dense,False,False,completed,,3,1,0.05555555555555555,0.08333333333333333,0.04868944994756882,3,,,,,,,,,,,,,,cpu,float32,8,1,-0.22222222222222218,-0.65,-0.3490078351960678,,,,,,,False,,,,,
qwen3-embedding-0.6b-384,Qwen3 Embedding 0.6B 384D,temporal,Qwen/Qwen3-Embedding-0.6B,97b0c614be4d77ee51c0cef4e5f07c00f9eb65b3,384,512,hue_foods_08a_qwen3_06b_384,dense,False,False,completed,,1,1,0.5,1.0,0.6131471927654584,3,,,,,,,,,,,,,,cpu,float32,8,1,0.0,0.0,0.0,,,,,,,True,,,,,
